,Experiment,Model,Metric/Class,Hyperparameters,Performance
23,overall,RandomForestClassifier,f1-score,"{""criterion"": ""gini"", ""max_depth"": 10, ""min_samples_leaf"": 2, ""min_samples_split"": 2, ""n_estimators"": 100}",0.7822693942726844
24,overall,ExtraTreesClassifier,accuracy,"{""bootstrap"": false, ""criterion"": ""gini"", ""max_depth"": 20, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_estimators"": 100}",0.825
25,overall,ExtraTreesClassifier,precision,"{""bootstrap"": false, ""criterion"": ""gini"", ""max_depth"": 20, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_estimators"": 100}",0.7872051140983742
26,overall,ExtraTreesClassifier,recall,"{""bootstrap"": false, ""criterion"": ""gini"", ""max_depth"": 20, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_estimators"": 100}",0.7481246112103765
27,overall,ExtraTreesClassifier,f1-score,"{""bootstrap"": false, ""criterion"": ""gini"", ""max_depth"": 20, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_estimators"": 100}",0.7621674485964717
28,specific,XGBClassifier,precision_GREEN,"{""colsample_bytree"": 1.0, ""gamma"": 1, ""learning_rate"": 0.4, ""max_depth"": 6, ""n_estimators"": 50, ""reg_alpha"": 0, ""reg_lambda"": 0.1, ""subsample"": 0.8}",0.9344534691196855
29,specific,XGBClassifier,precision_RED,"{""colsample_bytree"": 1.0, ""gamma"": 1, ""learning_rate"": 0.4, ""max_depth"": 6, ""n_estimators"": 50, ""reg_alpha"": 0, ""reg_lambda"": 0.1, ""subsample"": 0.8}",0.8061501461501461
30,specific,XGBClassifier,precision_YELLOW,"{""colsample_bytree"": 1.0, ""gamma"": 1, ""learning_rate"": 0.4, ""max_depth"": 6, ""n_estimators"": 50, ""reg_alpha"": 0, ""reg_lambda"": 0.1, ""subsample"": 0.8}",0.6475108225108225
31,specific,XGBClassifier,recall_GREEN,"{""colsample_bytree"": 1.0, ""gamma"": 1, ""learning_rate"": 0.4, ""max_depth"": 6, ""n_estimators"": 50, ""reg_alpha"": 0, ""reg_lambda"": 0.1, ""subsample"": 0.8}",0.9391171993911719
32,specific,XGBClassifier,recall_RED,"{""colsample_bytree"": 1.0, ""gamma"": 1, ""learning_rate"": 0.4, ""max_depth"": 6, ""n_estimators"": 50, ""reg_alpha"": 0, ""reg_lambda"": 0.1, ""subsample"": 0.8}",0.7956666666666667
33,specific,XGBClassifier,recall_YELLOW,"{""colsample_bytree"": 1.0, ""gamma"": 1, ""learning_rate"": 0.4, ""max_depth"": 6, ""n_estimators"": 50, ""reg_alpha"": 0, ""reg_lambda"": 0.1, ""subsample"": 0.8}",0.6398550724637682
